WARD SECTION (CONCATENATED),WARD,SECTION,MONTH NAME,MONTH NUMBER,DATES
1707,17,7,APRIL,4,"18,19"
1707,17,7,JUNE,6,"14,15"
1707,17,7,AUGUST,8,"10,13"
1707,17,7,OCTOBER,10,"9,10"
1708,17,8,APRIL,4,"20,23"
1708,17,8,JUNE,6,"18,19"
1708,17,8,AUGUST,8,"14,15"
1708,17,8,OCTOBER,10,"11,12"
1709,17,9,APRIL,4,"24,25"
1709,17,9,JUNE,6,"20,21"
1709,17,9,AUGUST,8,"16,17"
1709,17,9,OCTOBER,10,"15,16"
1710,17,10,APRIL,4,"26,27"
1710,17,10,JUNE,6,"22,25"
1710,17,10,AUGUST,8,"20,21"
1710,17,10,OCTOBER,10,"17,18"
1711,17,11,APRIL,4,30
1711,17,11,MAY,5,1
1711,17,11,JUNE,6,"26,27"
1711,17,11,AUGUST,8,"22,23"
1711,17,11,OCTOBER,10,"19,22"
1712,17,12,MAY,5,"2,3"
1712,17,12,JUNE,6,"28,29"
1712,17,12,AUGUST,8,"24,27"
1712,17,12,OCTOBER,10,"23,24"
1713,17,13,MAY,5,"4,7"
1713,17,13,JULY,7,"2,3"
1713,17,13,AUGUST,8,"28,29"
1713,17,13,OCTOBER,10,"25,26"
1714,17,14,MAY,5,"8,9"
1714,17,14,JULY,7,"5,6"
1714,17,14,AUGUST,8,"30,31"
1714,17,14,OCTOBER,10,"29,30"
1715,17,15,MAY,5,"10,11"
1715,17,15,JULY,7,"9,10"
1715,17,15,SEPTEMBER,9,"4,5"
1715,17,15,OCTOBER,10,31
1715,17,15,NOVEMBER,11,1
1716,17,16,MAY,5,"14,15"
1716,17,16,JULY,7,"11,12"
1716,17,16,SEPTEMBER,9,"6,7"
1716,17,16,NOVEMBER,11,"2,5"
1717,17,17,MAY,5,"16,17"
1717,17,17,JULY,7,"13,16"
1717,17,17,SEPTEMBER,9,"10,11"
1717,17,17,NOVEMBER,11,"6,7"
1718,17,18,MAY,5,"18,21"
1718,17,18,JULY,7,"17,18"
1718,17,18,SEPTEMBER,9,"12,13"
1718,17,18,NOVEMBER,11,"8,9"
1719,17,19,MAY,5,"22,23"
1719,17,19,JULY,7,"19,20"
1719,17,19,SEPTEMBER,9,"14,17"
1719,17,19,NOVEMBER,11,"12,13"
1720,17,20,MAY,5,"24,25"
1720,17,20,JULY,7,"23,24"
1720,17,20,SEPTEMBER,9,"18,19"
1720,17,20,NOVEMBER,11,"14,15"
1801,18,1,APRIL,4,"2,3"
1801,18,1,MAY,5,31
1801,18,1,JUNE,6,1
1801,18,1,JULY,7,"13,16"
1801,18,1,SEPTEMBER,9,"14,17"
1801,18,1,OCTOBER,10,"25,26"
1802,18,2,APRIL,4,"6,9"
1802,18,2,MAY,5,"24,25"
1802,18,2,JUNE,6,"19,20"
1802,18,2,SEPTEMBER,9,"10,11"
1802,18,2,OCTOBER,10,"29,30"
1803,18,3,APRIL,4,"4,5"
1803,18,3,MAY,5,"22,23"
1803,18,3,JULY,7,"17,18"
1803,18,3,SEPTEMBER,9,"6,7"
1803,18,3,OCTOBER,10,31
1803,18,3,NOVEMBER,11,1
1804,18,4,APRIL,4,"10,11"
1804,18,4,MAY,5,"29,30"
1804,18,4,JULY,7,31
1804,18,4,AUGUST,8,1
1804,18,4,SEPTEMBER,9,"4,5"
1804,18,4,NOVEMBER,11,"2,5"
1805,18,5,APRIL,4,"18,19"
1805,18,5,JUNE,6,"6,7"
1805,18,5,JULY,7,"25,26"
1805,18,5,SEPTEMBER,9,"12,13"
1805,18,5,NOVEMBER,11,"6,7"
1806,18,6,APRIL,4,"24,25"
1806,18,6,JUNE,6,"12,16"
1806,18,6,AUGUST,8,"8,9"
1806,18,6,SEPTEMBER,9,"18,19"
1806,18,6,NOVEMBER,11,"14,15"
1807,18,7,APRIL,4,"12,13"
1807,18,7,JUNE,6,"4,5"
1807,18,7,JULY,7,"23,24"
1807,18,7,SEPTEMBER,9,"20,21"
1807,18,7,NOVEMBER,11,"8,9"
1808,18,8,APRIL,4,"16,17"
1808,18,8,JUNE,6,"8,11"
1808,18,8,AUGUST,8,"2,3"
1808,18,8,SEPTEMBER,9,"24,25"
1808,18,8,NOVEMBER,11,"12,13"
1809,18,9,MAY,5,"2,3"
1809,18,9,JUNE,6,"20,21"
1809,18,9,AUGUST,8,"14,15"
1809,18,9,SEPTEMBER,9,"26,27"
1810,18,10,APRIL,4,"20,23"
1810,18,10,JUNE,6,"18,19"
1810,18,10,JULY,7,"27,30"
1810,18,10,SEPTEMBER,9,28
1810,18,10,OCTOBER,10,1
1811,18,11,APRIL,4,"26,27"
1811,18,11,JUNE,6,"14,15"
1811,18,11,AUGUST,8,"6,7"
1811,18,11,SEPTEMBER,9,"4,5"
1812,18,12,MAY,5,"8,9"
1812,18,12,JUNE,6,"26,27"
1812,18,12,AUGUST,8,"22,23"
1812,18,12,OCTOBER,10,"2,3"
1813,18,13,MAY,5,"18,21"
1813,18,13,JULY,7,"11,12"
1813,18,13,AUGUST,8,"30,31"
1813,18,13,OCTOBER,10,"23,24"
1814,18,14,MAY,5,"16,17"
1814,18,14,JULY,7,"2,3"
1814,18,14,AUGUST,8,"28,29"
1814,18,14,OCTOBER,10,"17,18"
1815,18,15,MAY,5,"14,15"
1815,18,15,JULY,7,"5,6"
1815,18,15,AUGUST,8,"24,27"
1815,18,15,OCTOBER,10,"9,10"
1816,18,16,MAY,5,"4,7"
1816,18,16,JUNE,6,"9,10"
1816,18,16,AUGUST,8,"16,17"
1816,18,16,OCTOBER,10,"19,22"
1817,18,17,MAY,5,"10,11"
1817,18,17,AUGUST,8,"28,29"
1817,18,17,OCTOBER,10,"15,16"
1818,18,18,APRIL,4,30
1818,18,18,MAY,5,1
1818,18,18,JUNE,6,"22,25"
1818,18,18,AUGUST,8,"10,13"
1818,18,18,OCTOBER,10,"11,12"
1901,19,1,APRIL,4,"2,3"
1901,19,1,JUNE,6,"12,13"
1901,19,1,AUGUST,8,"22,23"
1901,19,1,NOVEMBER,11,"2,5"
1902,19,2,APRIL,4,"4,5"
1902,19,2,JUNE,6,"14,15"
1902,19,2,AUGUST,8,"24,27"
1902,19,2,NOVEMBER,11,"6,7"
1903,19,3,APRIL,4,"6,9"
1903,19,3,JUNE,6,"18,19"
1903,19,3,AUGUST,8,"28,29"
1903,19,3,NOVEMBER,11,"8,9"
1904,19,4,APRIL,4,"10,11"
1904,19,4,JUNE,6,"20,21"
1904,19,4,AUGUST,8,"30,31"
1904,19,4,NOVEMBER,11,"12,13"
1905,19,5,APRIL,4,"12,13"
1905,19,5,JUNE,6,"22,25"
1905,19,5,SEPTEMBER,9,"4,5"
1905,19,5,NOVEMBER,11,"14,15"
1906,19,6,APRIL,4,"16,17"
1906,19,6,JUNE,6,"26,27"
1906,19,6,SEPTEMBER,9,"6,7"
1906,19,6,NOVEMBER,11,16
1907,19,7,APRIL,4,"18,19"
1907,19,7,JUNE,6,"28,29"
1907,19,7,SEPTEMBER,9,"10,11"
1908,19,8,APRIL,4,"20,23"
1908,19,8,JULY,7,"2,3"
1908,19,8,SEPTEMBER,9,"12,13"
1909,19,9,APRIL,4,"24,25"
1909,19,9,JULY,7,"5,6"
1909,19,9,SEPTEMBER,9,"14,17"
1910,19,10,APRIL,4,"26,27"
1910,19,10,JULY,7,"9,10"
1910,19,10,SEPTEMBER,9,"18,19"
1910,19,10,NOVEMBER,11,"16,19"
1911,19,11,APRIL,4,30
1911,19,11,MAY,5,1
1911,19,11,JULY,7,"11,12"
1911,19,11,SEPTEMBER,9,"20,21"
1912,19,12,MAY,5,"2,3"
1912,19,12,JULY,7,"13,16"
1912,19,12,SEPTEMBER,9,"24,25"
1913,19,13,MAY,5,"4,7"
1913,19,13,JULY,7,"17,18"
1913,19,13,SEPTEMBER,9,"26,27"
1914,19,14,MAY,5,"8,9"
1914,19,14,JULY,7,"19,20"
1914,19,14,SEPTEMBER,9,28
1914,19,14,OCTOBER,10,1
1915,19,15,MAY,5,"10,11"
1915,19,15,JULY,7,"23,24"
1915,19,15,OCTOBER,10,"2,3"
1916,19,16,MAY,5,"14,15"
1916,19,16,JULY,7,"25,26"
1916,19,16,OCTOBER,10,"4,5"
1917,19,17,MAY,5,"16,17"
1917,19,17,JULY,7,"27,30"
1917,19,17,OCTOBER,10,"9,10"
1918,19,18,MAY,5,"18,21"
1918,19,18,JULY,7,31
1918,19,18,AUGUST,8,1
1918,19,18,OCTOBER,10,"11,12"
1919,19,19,MAY,5,"22,23"
1919,19,19,AUGUST,8,"2,3"
1919,19,19,OCTOBER,10,"15,16"
1920,19,20,MAY,5,"24,25"
1920,19,20,AUGUST,8,"6,7"
1920,19,20,OCTOBER,10,"17,18"
1921,19,21,MAY,5,"29,30"
1921,19,21,AUGUST,8,"8,9"
1921,19,21,OCTOBER,10,"19,22"
1922,19,22,MAY,5,31
1922,19,22,JUNE,6,1
1922,19,22,AUGUST,8,"10,13"
1922,19,22,OCTOBER,10,"23,24"
1923,19,23,JUNE,6,"4,5"
1923,19,23,AUGUST,8,"14,15"
1923,19,23,OCTOBER,10,"25,26"
1924,19,24,JUNE,6,"6,7"
1924,19,24,AUGUST,8,"16,17"
1924,19,24,NOVEMBER,11,"29,30"
1925,19,25,JUNE,6,"8,11"
1925,19,25,AUGUST,8,"20,21"
1925,19,25,OCTOBER,10,31
1925,19,25,NOVEMBER,11,1
2001,20,1,APRIL,4,"3,4"
2001,20,1,MAY,5,"17,18"
2001,20,1,JULY,7,"6,9"
2001,20,1,AUGUST,8,"21,22"
2001,20,1,OCTOBER,10,"10,11"
2002,20,2,APRIL,4,"5,6"
2002,20,2,MAY,5,"21,22"
2002,20,2,JULY,7,"10,11"
2002,20,2,AUGUST,8,"23,24"
2002,20,2,OCTOBER,10,"12,15"
2003,20,3,APRIL,4,"9,10"
2003,20,3,MAY,5,"23,24"
2003,20,3,JULY,7,"12,13"
2003,20,3,AUGUST,8,"27,28"
2003,20,3,OCTOBER,10,"16,17"
2004,20,4,APRIL,4,"11,12"
2004,20,4,MAY,5,25
2004,20,4,JULY,7,"16,17"
2004,20,4,AUGUST,8,"29,30"
2004,20,4,OCTOBER,10,"18,19"
2005,20,5,APRIL,4,"13,16"
2005,20,5,MAY,5,31
2005,20,5,JUNE,6,1
2005,20,5,JULY,7,"18,19"
2005,20,5,AUGUST,8,31
2005,20,5,SEPTEMBER,9,5
2005,20,5,OCTOBER,10,"22,23"
2006,20,6,APRIL,4,"17,18"
2006,20,6,JUNE,6,"4,5"
2006,20,6,JULY,7,"20,23"
2006,20,6,SEPTEMBER,9,"6,7"
2006,20,6,OCTOBER,10,"24,25"
2007,20,7,APRIL,4,"19,20"
2007,20,7,MAY,5,"6,7"
2007,20,7,JULY,7,"24,25"
2007,20,7,SEPTEMBER,9,"10,11"
2007,20,7,OCTOBER,10,"26,29"
2008,20,8,APRIL,4,"23,24"
2008,20,8,JUNE,6,"8,11"
2008,20,8,JULY,7,"26,27"
2008,20,8,SEPTEMBER,9,"12,13"
2008,20,8,OCTOBER,10,"30,31"
2009,20,9,APRIL,4,"25,26"
2009,20,9,JUNE,6,"12,13"
2009,20,9,JULY,7,"30,31"
2009,20,9,SEPTEMBER,9,"14,17"
2009,20,9,NOVEMBER,11,"1,2"
2010,20,10,APRIL,4,"27,30"
2010,20,10,JUNE,6,"14,15"
2010,20,10,AUGUST,8,"1,2"
2010,20,10,SEPTEMBER,9,"18,19"
2010,20,10,NOVEMBER,11,"5,6"
2011,20,11,MAY,5,"1,2"
2011,20,11,JUNE,6,"18,19"
2011,20,11,AUGUST,8,"3,6"
2011,20,11,SEPTEMBER,9,"20,21"
2011,20,11,NOVEMBER,11,"7,8"
2012,20,12,MAY,5,"3,4"
2012,20,12,JUNE,6,"20,21"
2012,20,12,AUGUST,8,"7,8"
2012,20,12,SEPTEMBER,9,"24,25"
2012,20,12,NOVEMBER,11,"9,12"
2013,20,13,MAY,5,"7,8"
2013,20,13,JUNE,6,"22,25"
2013,20,13,AUGUST,8,"9,10"
2013,20,13,SEPTEMBER,9,"26,27"
2013,20,13,NOVEMBER,11,"13,14"
2101,21,1,APRIL,4,"2,3"
2101,21,1,MAY,5,"24,25"
2101,21,1,JULY,7,"19,20"
2101,21,1,SEPTEMBER,9,"12,13"
2101,21,1,NOVEMBER,11,"6,7"
2102,21,2,APRIL,4,"4,5"
2102,21,2,MAY,5,"29,30"
2102,21,2,JULY,7,"23,24"
2102,21,2,SEPTEMBER,9,"14,17"
2102,21,2,NOVEMBER,11,"8,9"
2103,21,3,APRIL,4,"6,9"
2103,21,3,MAY,5,31
2103,21,3,JUNE,6,1
2103,21,3,JULY,7,"25,26"
2103,21,3,SEPTEMBER,9,"18,19"
2103,21,3,NOVEMBER,11,"12,13"
2104,21,4,APRIL,4,"10,11"
2104,21,4,JUNE,6,"4,5"
2104,21,4,JULY,7,"27,30"
2104,21,4,SEPTEMBER,9,"20,21"
2104,21,4,NOVEMBER,11,"14,15"
2105,21,5,APRIL,4,"12,13"
2105,21,5,JUNE,6,"6,7"
2105,21,5,JULY,7,31
2105,21,5,AUGUST,8,1
2105,21,5,SEPTEMBER,9,"24,25"
2106,21,6,APRIL,4,"16,17"
2106,21,6,JUNE,6,"8,11"
2106,21,6,AUGUST,8,"2,3"
2106,21,6,SEPTEMBER,9,"26,27"
2107,21,7,APRIL,4,"18,19"
2107,21,7,JUNE,6,"12,13"
2107,21,7,AUGUST,8,"6,7"
2107,21,7,SEPTEMBER,9,28
2107,21,7,OCTOBER,10,1
2108,21,8,APRIL,4,"20,23"
2108,21,8,JUNE,6,"14,15"
2108,21,8,AUGUST,8,"8,9"
2108,21,8,OCTOBER,10,"2,3"
2109,21,9,APRIL,4,"24,25"
2109,21,9,JUNE,6,"18,19"
2109,21,9,AUGUST,8,"10,13"
2109,21,9,OCTOBER,10,"4,5"
2110,21,10,APRIL,4,"26,27"
2110,21,10,JUNE,6,"20,21"
2110,21,10,AUGUST,8,"14,15"
2110,21,10,OCTOBER,10,"9,10"
2111,21,11,APRIL,4,30
2111,21,11,MAY,5,1
2111,21,11,JUNE,6,"22,25"
2111,21,11,AUGUST,8,"16,17"
2111,21,11,OCTOBER,10,"11,12"
2112,21,12,MAY,5,"2,3"
2112,21,12,JUNE,6,"26,27"
2112,21,12,AUGUST,8,"20,21"
2112,21,12,OCTOBER,10,"15,16"
2113,21,13,MAY,5,"4,7"
2113,21,13,JUNE,6,"28,29"
2113,21,13,AUGUST,8,"22,23"
2113,21,13,OCTOBER,10,"17,18"
2114,21,14,MAY,5,"8,9"
2114,21,14,JULY,7,"2,3"
2114,21,14,AUGUST,8,"24,27"
2114,21,14,OCTOBER,10,"19,22"
2115,21,15,MAY,5,"10,11"
2115,21,15,JULY,7,"5,6"
2115,21,15,AUGUST,8,"28,29"
2115,21,15,OCTOBER,10,"23,24"
2116,21,16,MAY,5,"14,15"
2116,21,16,JULY,7,"9,10"
2116,21,16,AUGUST,8,"30,31"
2116,21,16,OCTOBER,10,"25,26"
2117,21,17,MAY,5,"16,17"
2117,21,17,JULY,7,"11,12"
2117,21,17,SEPTEMBER,9,"4,5"
2117,21,17,OCTOBER,10,"29,30"
2118,21,18,MAY,5,"18,21"
2118,21,18,JULY,7,"13,16"
2118,21,18,SEPTEMBER,9,"6,7"
2118,21,18,OCTOBER,10,31
2118,21,18,NOVEMBER,11,1
2119,21,19,MAY,5,"22,23"
2119,21,19,JULY,7,"17,18"
2119,21,19,SEPTEMBER,9,"10,11"
2119,21,19,NOVEMBER,11,"2,5"
2201,22,1,APRIL,4,"2,3"
2201,22,1,MAY,5,"10,11"
2201,22,1,JUNE,6,"20,21"
2201,22,1,JULY,7,31
2201,22,1,AUGUST,8,1
2201,22,1,SEPTEMBER,9,"10,11"
2201,22,1,OCTOBER,10,"19,22"
2202,22,2,APRIL,4,"4,5"
2202,22,2,MAY,5,"14,15"
2202,22,2,JUNE,6,"22,25"
2202,22,2,AUGUST,8,"2,3"
2202,22,2,SEPTEMBER,9,"12,13"
2202,22,2,OCTOBER,10,"23,24"
2203,22,3,APRIL,4,"6,9"
2203,22,3,MAY,5,"16,17"
2203,22,3,JUNE,6,"26,27"
2203,22,3,AUGUST,8,"6,7"
2203,22,3,SEPTEMBER,9,"14,17"
2203,22,3,OCTOBER,10,"25,26"
2204,22,4,APRIL,4,"10,11"
2204,22,4,MAY,5,"18,21"
2204,22,4,JUNE,6,"28,29"
2204,22,4,AUGUST,8,"8,9"
2204,22,4,SEPTEMBER,9,"18,19"
2204,22,4,OCTOBER,10,"29,30"
2205,22,5,APRIL,4,"12,13"
2205,22,5,MAY,5,"22,23"
2205,22,5,JULY,7,"2,3"
2205,22,5,AUGUST,8,"10,13"
2205,22,5,SEPTEMBER,9,"20,21"
2205,22,5,OCTOBER,10,31
2205,22,5,NOVEMBER,11,1
2206,22,6,APRIL,4,"16,17"
2206,22,6,MAY,5,"24,25"
2206,22,6,JULY,7,"5,6"
2206,22,6,AUGUST,8,"14,15"
2206,22,6,SEPTEMBER,9,"24,25"
2206,22,6,NOVEMBER,11,"2,5"
2207,22,7,APRIL,4,"18,19"
2207,22,7,MAY,5,"29,30"
2207,22,7,JULY,7,"9,10"
2207,22,7,AUGUST,8,"16,17"
2207,22,7,SEPTEMBER,9,"26,27"
2207,22,7,NOVEMBER,11,"6,7"
2208,22,8,APRIL,4,"20,23"
2208,22,8,MAY,5,31
2208,22,8,JUNE,6,1
2208,22,8,JULY,7,"11,12"
2208,22,8,AUGUST,8,"20,21"
2208,22,8,SEPTEMBER,9,28
2208,22,8,OCTOBER,10,1
2208,22,8,NOVEMBER,11,"8,9"
2209,22,9,APRIL,4,"24,25"
2209,22,9,JUNE,6,"4,5"
2209,22,9,JULY,7,"13,16"
2209,22,9,AUGUST,8,"22,23"
2209,22,9,OCTOBER,10,"2,3"
2209,22,9,NOVEMBER,11,"12,13"
2210,22,10,APRIL,4,"26,27"
2210,22,10,JUNE,6,"6,7"
2210,22,10,JULY,7,"17,18"
2210,22,10,AUGUST,8,"24,27"
2210,22,10,OCTOBER,10,"4,5"
2210,22,10,NOVEMBER,11,"14,15"
2211,22,11,APRIL,4,30
2211,22,11,MAY,5,1
2211,22,11,JUNE,6,"8,11"
2211,22,11,JULY,7,"19,20"
2211,22,11,AUGUST,8,"28,29"
2211,22,11,OCTOBER,10,"9,10"
2211,22,11,NOVEMBER,11,16
2212,22,12,MAY,5,"2,3"
2212,22,12,JUNE,6,"12,13"
2212,22,12,JULY,7,"23,24"
2212,22,12,AUGUST,8,"30,31"
2212,22,12,OCTOBER,10,"11,12"
2213,22,13,MAY,5,"4,7"
2213,22,13,JUNE,6,"14,15"
2213,22,13,JULY,7,"25,26"
2213,22,13,SEPTEMBER,9,"4,5"
2213,22,13,OCTOBER,10,"15,16"
2214,22,14,MAY,5,"8,9"
2214,22,14,JUNE,6,"18,19"
2214,22,14,JULY,7,"27,30"
2214,22,14,SEPTEMBER,9,"6,7"
2214,22,14,OCTOBER,10,"17,18"
2301,23,1,APRIL,4,"2,3"
2301,23,1,MAY,5,"24,25"
2301,23,1,JULY,7,"19,20"
2301,23,1,SEPTEMBER,9,"12,13"
2301,23,1,NOVEMBER,11,"6,7"
2302,23,2,APRIL,4,"4,5"
2302,23,2,MAY,5,"29,30"
2302,23,2,JULY,7,"23,24"
2302,23,2,SEPTEMBER,9,"14,17"
2302,23,2,NOVEMBER,11,"8,9"
2303,23,3,APRIL,4,"6,9"
2303,23,3,MAY,5,31
2303,23,3,JUNE,6,1
2303,23,3,JULY,7,"25,26"
2303,23,3,SEPTEMBER,9,"18,19"
2303,23,3,NOVEMBER,11,"12,13"
2304,23,4,APRIL,4,"10,11"
2304,23,4,JUNE,6,"4,5"
2304,23,4,JULY,7,"27,30"
2304,23,4,SEPTEMBER,9,"20,21"
2304,23,4,NOVEMBER,11,"14,15"
2305,23,5,APRIL,4,"12,13"
2305,23,5,JUNE,6,"6,7"
2305,23,5,JULY,7,31
2305,23,5,AUGUST,8,1
2305,23,5,SEPTEMBER,9,"24,25"
2305,23,5,NOVEMBER,11,16
2306,23,6,APRIL,4,"16,17"
2306,23,6,JUNE,6,"8,11"
2306,23,6,AUGUST,8,"2,3"
2306,23,6,SEPTEMBER,9,"26,27"
2307,23,7,APRIL,4,"18,19"
2307,23,7,JUNE,6,"12,13"
2307,23,7,AUGUST,8,"6,7"
2307,23,7,SEPTEMBER,9,28
2307,23,7,OCTOBER,10,1
2308,23,8,APRIL,4,"20,23"
2308,23,8,JUNE,6,"14,15"
2308,23,8,AUGUST,8,"8,9"
2308,23,8,OCTOBER,10,"2,3"
2309,23,9,APRIL,4,"24,25"
2309,23,9,JUNE,6,"18,19"
2309,23,9,AUGUST,8,"10,13"
2309,23,9,OCTOBER,10,"4,5"
2310,23,10,APRIL,4,"26,27"
2310,23,10,JUNE,6,"20,21"
2310,23,10,AUGUST,8,"14,15"
2310,23,10,OCTOBER,10,"9,10"
2311,23,11,APRIL,4,30
2311,23,11,MAY,5,1
2311,23,11,JUNE,6,"22,25"
2311,23,11,AUGUST,8,"16,17"
2311,23,11,OCTOBER,10,"11,12"
2312,23,12,MAY,5,"2,3"
2312,23,12,JUNE,6,"26,27"
2312,23,12,AUGUST,8,"20,21"
2312,23,12,OCTOBER,10,"15,16"
2313,23,13,MAY,5,"4,7"
2313,23,13,JUNE,6,"28,29"
2313,23,13,AUGUST,8,"22,23"
2313,23,13,OCTOBER,10,"17,18"
2314,23,14,MAY,5,"8,9"
2314,23,14,JULY,7,"2,3"
2314,23,14,AUGUST,8,"24,27"
2314,23,14,OCTOBER,10,"19,22"
2315,23,15,MAY,5,"10,11"
2315,23,15,JULY,7,"5,6"
2315,23,15,AUGUST,8,"28,29"
2315,23,15,OCTOBER,10,"23,24"
2316,23,16,MAY,5,"14,15"
2316,23,16,JULY,7,"9,10"
2316,23,16,AUGUST,8,"30,31"
2316,23,16,OCTOBER,10,"25,26"
2317,23,17,MAY,5,"16,17"
2317,23,17,JULY,7,"11,12"
2317,23,17,SEPTEMBER,9,"4,5"
2317,23,17,OCTOBER,10,"29,30"
2318,23,18,MAY,5,"18,21"
2318,23,18,JULY,7,"13,16"
2318,23,18,SEPTEMBER,9,"6,7"
2318,23,18,OCTOBER,10,"29,30"
2319,23,19,MAY,5,"22,23"
2319,23,19,JULY,7,"17,18"
2319,23,19,SEPTEMBER,9,"10,11"
2319,23,19,NOVEMBER,11,"2,5"
2401,24,1,APRIL,4,"2,3"
2401,24,1,MAY,5,"2,3"
2401,24,1,JUNE,6,"4,5"
2401,24,1,JULY,7,"5,6"
2401,24,1,AUGUST,8,"6,7"
2401,24,1,SEPTEMBER,9,"6,7"
2401,24,1,OCTOBER,10,"9,10"
2401,24,1,NOVEMBER,11,"8,9"
2402,24,2,APRIL,4,"4,5"
2402,24,2,MAY,5,"4,7"
2402,24,2,JUNE,6,"6,7"
2402,24,2,JULY,7,"9,10"
2402,24,2,AUGUST,8,"8,9"
2402,24,2,SEPTEMBER,9,"10,11"
2402,24,2,OCTOBER,10,"11,12"
2402,24,2,NOVEMBER,11,"12,13"
2403,24,3,APRIL,4,"6,9"
2403,24,3,MAY,5,"8,9"
2403,24,3,JUNE,6,"8,11"
2403,24,3,JULY,7,"11,12"
2403,24,3,AUGUST,8,"12,13"
2403,24,3,SEPTEMBER,9,"15,16"
2403,24,3,NOVEMBER,11,"14,15"
2404,24,4,APRIL,4,"10,11"
2404,24,4,MAY,5,"10,11"
2404,24,4,JUNE,6,"12,13"
2404,24,4,JULY,7,"13,16"
2404,24,4,AUGUST,8,"14,15"
2404,24,4,SEPTEMBER,9,"14,17"
2404,24,4,OCTOBER,10,"17,18"
2404,24,4,NOVEMBER,11,16
2405,24,5,APRIL,4,"12,13"
2405,24,5,MAY,5,"14,15"
2405,24,5,JUNE,6,"14,15"
2405,24,5,JULY,7,"17,18"
2405,24,5,AUGUST,8,"16,17"
2405,24,5,SEPTEMBER,9,"18,19"
2405,24,5,OCTOBER,10,"19,22"
2406,24,6,APRIL,4,"16,17"
2406,24,6,MAY,5,"16,17"
2406,24,6,JUNE,6,"18,19"
2406,24,6,JULY,7,"19,20"
2406,24,6,AUGUST,8,"20,21"
2406,24,6,SEPTEMBER,9,"20,21"
2406,24,6,OCTOBER,10,"23,26"
2407,24,7,APRIL,4,"18,19"
2407,24,7,MAY,5,"18,21"
2407,24,7,JUNE,6,"20,21"
2407,24,7,JULY,7,"23,24"
2407,24,7,AUGUST,8,"22,23"
2407,24,7,SEPTEMBER,9,"24,25"
2407,24,7,OCTOBER,10,"25,26"
2408,24,8,APRIL,4,"20,23"
2408,24,8,MAY,5,"22,23"
2408,24,8,JUNE,6,"22,25"
2408,24,8,JULY,7,"25,26"
2408,24,8,AUGUST,8,"24,27"
2408,24,8,SEPTEMBER,9,"26,27"
2408,24,8,OCTOBER,10,"29,30"
2409,24,9,APRIL,4,"24,25"
2409,24,9,MAY,5,"24,25"
2409,24,9,JUNE,6,"26,27"
2409,24,9,JULY,7,"27,30"
2409,24,9,AUGUST,8,"28,29"
2409,24,9,SEPTEMBER,9,28
2409,24,9,OCTOBER,10,"1,31"
2409,24,9,NOVEMBER,11,1
2410,24,10,APRIL,4,"26,27"
2410,24,10,MAY,5,"29,30"
2410,24,10,JUNE,6,"28,29"
2410,24,10,AUGUST,8,31
2410,24,10,SEPTEMBER,9,"1,30,31"
2410,24,10,OCTOBER,10,"2,3"
2410,24,10,NOVEMBER,11,"2,5"
2411,24,11,APRIL,4,30
2411,24,11,MAY,5,"1,31"
2411,24,11,JUNE,6,1
2411,24,11,JULY,7,"2,3"
2411,24,11,AUGUST,8,"2,3"
2411,24,11,SEPTEMBER,9,"4,5"
2411,24,11,OCTOBER,10,"4,5"
2411,24,11,NOVEMBER,11,"6,7"
2501,25,1,APRIL,4,"2,3"
2501,25,1,MAY,5,"1,7"
2501,25,1,JUNE,6,"4,5"
2501,25,1,JULY,7,"2,3"
2501,25,1,AUGUST,8,"6,7"
2501,25,1,SEPTEMBER,9,4
2501,25,1,OCTOBER,10,"1,2"
2501,25,1,NOVEMBER,11,"5,6"
2502,25,2,APRIL,4,"4,5"
2502,25,2,MAY,5,"2,3"
2502,25,2,JUNE,6,"6,7"
2502,25,2,JULY,7,5
2502,25,2,AUGUST,8,"1,2"
2502,25,2,SEPTEMBER,9,"5,6"
2502,25,2,OCTOBER,10,"3,4"
2502,25,2,NOVEMBER,11,"1,7"
2503,25,3,APRIL,4,"6,9"
2503,25,3,MAY,5,"4,14"
2503,25,3,JUNE,6,"1,11"
2503,25,3,JULY,7,"6,9"
2503,25,3,AUGUST,8,"3,13"
2503,25,3,SEPTEMBER,9,"7,10"
2503,25,3,OCTOBER,10,5
2503,25,3,NOVEMBER,11,"2,12"
2504,25,4,APRIL,4,"10,11"
2504,25,4,MAY,5,"8,9"
2504,25,4,JUNE,6,"12,13"
2504,25,4,JULY,7,"10,11"
2504,25,4,AUGUST,8,"8,14"
2504,25,4,SEPTEMBER,9,"11,12"
2504,25,4,OCTOBER,10,"9,10"
2504,25,4,NOVEMBER,11,"13,14"
2505,25,5,APRIL,4,"12,13"
2505,25,5,MAY,5,"10,11"
2505,25,5,JUNE,6,"8,14"
2505,25,5,JULY,7,"12,13"
2505,25,5,AUGUST,8,"9,10"
2505,25,5,SEPTEMBER,9,"13,14"
2505,25,5,OCTOBER,10,"11,12"
2505,25,5,NOVEMBER,11,"8,9"
2506,25,6,APRIL,4,"16,17"
2506,25,6,MAY,5,"15,21"
2506,25,6,JUNE,6,"18,19"
2506,25,6,JULY,7,"16,17"
2506,25,6,AUGUST,8,"20,21"
2506,25,6,SEPTEMBER,9,"17,18"
2506,25,6,OCTOBER,10,"15,16"
